user_id,item_id,rating,timestamp,user_id_enc,item_id_enc,interaction
196,242,3,881250949,195,241,0
186,302,3,891717742,185,301,0
22,377,1,878887116,21,376,0
244,51,2,880606923,243,50,0
166,346,1,886397596,165,345,0
298,474,4,884182806,297,473,1
115,265,2,881171488,114,264,0
253,465,5,891628467,252,464,1
305,451,3,886324817,304,450,0
6,86,3,883603013,5,85,0
62,257,2,879372434,61,256,0
286,1014,5,879781125,285,1013,1
200,222,5,876042340,199,221,1
210,40,3,891035994,209,39,0
224,29,3,888104457,223,28,0
303,785,3,879485318,302,784,0
122,387,5,879270459,121,386,1
194,274,2,879539794,193,273,0
291,1042,4,874834944,290,1041,1
234,1184,2,892079237,233,1183,0
119,392,4,886176814,118,391,1
167,486,4,892738452,166,485,1
299,144,4,877881320,298,143,1
291,118,2,874833878,290,117,0
308,1,4,887736532,307,0,1
95,546,2,879196566,94,545,0
38,95,5,892430094,37,94,1
102,768,2,883748450,101,767,0
63,277,4,875747401,62,276,1
160,234,5,876861185,159,233,1
50,246,3,877052329,49,245,0
301,98,4,882075827,300,97,1
225,193,4,879539727,224,192,1
290,88,4,880731963,289,87,1
97,194,3,884238860,96,193,0
157,274,4,886890835,156,273,1
181,1081,1,878962623,180,1080,0
278,603,5,891295330,277,602,1
276,796,1,874791932,275,795,0
7,32,4,891350932,6,31,1
10,16,4,877888877,9,15,1
284,304,4,885329322,283,303,1
201,979,2,884114233,200,978,0
276,564,3,874791805,275,563,0
287,327,5,875333916,286,326,1
246,201,5,884921594,245,200,1
242,1137,5,879741196,241,1136,1
249,241,5,879641194,248,240,1
99,4,5,886519097,98,3,1
178,332,3,882823437,177,331,0
251,100,4,886271884,250,99,1
81,432,2,876535131,80,431,0
260,322,4,890618898,259,321,1
25,181,5,885853415,24,180,1
59,196,5,888205088,58,195,1
72,679,2,880037164,71,678,0
87,384,4,879877127,86,383,1
290,143,5,880474293,289,142,1
42,423,5,881107687,41,422,1
292,515,4,881103977,291,514,1
115,20,3,881171009,114,19,0
20,288,1,879667584,19,287,0
201,219,4,884112673,200,218,1
13,526,3,882141053,12,525,0
246,919,4,884920949,245,918,1
138,26,5,879024232,137,25,1
167,232,1,892738341,166,231,0
60,427,5,883326620,59,426,1
57,304,5,883698581,56,303,1
223,274,4,891550094,222,273,1
189,512,4,893277702,188,511,1
243,15,3,879987440,242,14,0
92,1049,1,890251826,91,1048,0
246,416,3,884923047,245,415,0
194,165,4,879546723,193,164,1
241,690,2,887249482,240,689,0
178,248,4,882823954,177,247,1
254,1444,3,886475558,253,1443,0
293,5,3,888906576,292,4,0
127,229,5,884364867,126,228,1
225,237,5,879539643,224,236,1
299,229,3,878192429,298,228,0
225,480,5,879540748,224,479,1
276,54,3,874791025,275,53,0
291,144,5,874835091,290,143,1
222,366,4,878183381,221,365,1
267,518,5,878971773,266,517,1
42,403,3,881108684,41,402,0
11,111,4,891903862,10,110,1
95,625,4,888954412,94,624,1
8,338,4,879361873,7,337,1
162,25,4,877635573,161,24,1
87,1016,4,879876194,86,1015,1
279,154,5,875296291,278,153,1
145,275,2,885557505,144,274,0
119,1153,5,874781198,118,1152,1
62,498,4,879373848,61,497,1
62,382,3,879375537,61,381,0
28,209,4,881961214,27,208,1
135,23,4,879857765,134,22,1
32,294,3,883709863,31,293,0
90,382,5,891383835,89,381,1
286,208,4,877531942,285,207,1
293,685,3,888905170,292,684,0
216,144,4,880234639,215,143,1
166,328,5,886397722,165,327,1
250,496,4,878090499,249,495,1
271,132,5,885848672,270,131,1
160,174,5,876860807,159,173,1
265,118,4,875320714,264,117,1
198,498,3,884207492,197,497,0
42,96,5,881107178,41,95,1
168,151,5,884288058,167,150,1
110,307,4,886987260,109,306,1
58,144,4,884304936,57,143,1
90,648,4,891384754,89,647,1
271,346,4,885844430,270,345,1
62,21,3,879373460,61,20,0
279,832,3,881375854,278,831,0
237,514,4,879376641,236,513,1
94,789,4,891720887,93,788,1
128,485,3,879966895,127,484,0
298,317,4,884182806,297,316,1
44,195,5,878347874,43,194,1
264,200,5,886122352,263,199,1
194,385,2,879524643,193,384,0
72,195,5,880037702,71,194,1
222,750,5,883815120,221,749,1
250,264,3,878089182,249,263,0
41,265,3,890687042,40,264,0
224,245,3,888082216,223,244,0
82,135,3,878769629,81,134,0
262,1147,4,879791710,261,1146,1
293,471,3,888904884,292,470,0
216,658,3,880245029,215,657,0
250,140,3,878092059,249,139,0
59,23,5,888205300,58,22,1
286,379,5,877533771,285,378,1
244,815,4,880605185,243,814,1
7,479,4,891352010,6,478,1
174,368,1,886434402,173,367,0
87,274,4,879876734,86,273,1
194,1211,2,879551380,193,1210,0
82,1134,2,884714402,81,1133,0
13,836,2,882139746,12,835,0
13,272,4,884538403,12,271,1
244,756,2,880605157,243,755,0
305,427,5,886323090,304,426,1
95,787,2,888954930,94,786,0
43,14,2,883955745,42,13,0
299,955,4,889502823,298,954,1
57,419,3,883698454,56,418,0
84,405,3,883452363,83,404,0
269,504,4,891449922,268,503,1
299,111,3,877878184,298,110,0
194,466,4,879525876,193,465,1
160,135,4,876860807,159,134,1
99,268,3,885678247,98,267,0
10,486,4,877886846,9,485,1
259,117,4,874724988,258,116,1
85,427,3,879456350,84,426,0
303,919,4,879467295,302,918,1
213,273,5,878870987,212,272,1
121,514,3,891387947,120,513,0
90,98,5,891383204,89,97,1
49,559,2,888067405,48,558,0
42,794,3,881108425,41,793,0
155,323,2,879371261,154,322,0
68,117,4,876973939,67,116,1
172,177,4,875537965,171,176,1
19,4,4,885412840,18,3,1
268,231,4,875744136,267,230,1
